,tags,ipa,word,region
1,,[mʲɪlʲ],mill,
0,,/aɾʲ/,air,
0,stressed,/ɛɾʲ/,air,stressed
1,unstressed,/əɾʲ/,air,unstressed
0,Aran; Munster,/ˈɑɾˠəmˠ/,arm,Connacht; Munster
1,Connemara; Mayo; Ulster,/ˈaɾˠəmˠ/,arm,Connacht; Connacht; Ulster
0,,/asˠ/,as,
1,Munster,/ɑsˠ/,as,Munster
2,Aran,/æsˠ/,as,Connacht
0,,/karˠ/,car,
0,,/ˈmʲɪnʲə/,mine,
0,,/bˠɔ(h)/,both,
1,Ulster,/bˠoh/,both,Ulster
0,,/ə/,ag,
1,,/əɡ/,ag,
2,,/əɟ/,ag,
3,,/ɛɟ/,ag,
4,,/ɪɟ/,ag,
0,,/ɛɟ/,ag,
0,,/bˠə/,ba,
1,,/bˠəj/,ba,
2,Munster; also,/bˠɔ/,ba,Munster; also
0,,/bˠan̪ˠ/,ban,
1,,/bˠanˠ/,ban,
0,Munster,/bˠeːl̪ˠ/,baol,Munster
1,Connacht,/bˠiːlˠ/,baol,Connacht
2,Connacht,/bˠiːl̪ˠ/,baol,Connacht
3,Ulster,/bˠiːlˠ/,baol,Ulster
4,Ulster,/bˠiːl̪ˠ/,baol,Ulster
5,Ulster,/bˠɯːlˠ/,baol,Ulster
6,,,baol,
7,,,baol,
8,,,baol,
9,,,baol,
10,,,baol,
11,,,baol,
12,,,baol,
13,,,baol,
14,,,baol,
15,,,baol,
0,,/ˈl̪ˠamˠpˠə/,lampa,
0,,/d̪ˠɔ/,do,
1,,/d̪ˠə/,do,
0,,/d̪ˠɔ/,do,
1,,/d̪ˠə/,do,
2,Connacht,/ɡə/,do,Connacht
3,Ulster; colloquial,/ə/,do,Ulster; colloquial
4,Ulster; colloquial,/ə.ɣ-/,do,Ulster; colloquial
5,Ulster; colloquial,/ə.j-/,do,Ulster; colloquial
0,,/dʲiə/,dia,
0,,/d̪ˠuə/,dua,
0,,/ˈmˠapˠə/,mapa,
0,,/alʲ/,ail,
0,,/ˈd̪ˠad̪ˠə/,dada,
0,,/ɛlʲ/,oil,
1,,/ɪlʲ/,oil,
0,,/ˈdʲɪdʲ/,did,
0,Munster,/dˠɾˠaumˠ/,dream,Munster
1,Munster,/dˠɾˠoumˠ/,dream,Munster
2,Connacht,/dʲɾʲɑːmˠ/,dream,Connacht
3,Connacht,/dʲɾʲamˠ/,dream,Connacht
4,Ulster,/dʲɾʲamˠ/,dream,Ulster
0,,/lʲɛd̪ˠ/,led,
0,Munster,/lʲan̪ˠ/,lean,Munster
1,Connacht; Ulster,/l̠ʲanˠ/,lean,Connacht; Ulster
2,Connacht; Ulster,/l̠ʲan̪ˠ/,lean,Connacht; Ulster
0,,/lʲɛt̪ˠ/,let,
0,Waterford,/fʲiːɲ/,finn,Munster
1,Cork; Galway; Kerry,/fʲiːn̠ʲ/,finn,Munster; Connacht; Munster
2,Mayo; Ulster,/fʲɪn̠ʲ/,finn,Connacht; Ulster
0,Connacht; Munster,/bˠɔɡ/,bog,Connacht; Munster
1,Ulster,/bˠʌɡ/,bog,Ulster
0,Connacht; Munster,/ʃɪnʲ/,sin,Connacht; Munster
1,Ulster,/ʃɨ̞nʲ/,sin,Ulster
0,Munster,/ɾˠɑŋɡ/,rang,Munster
1,Cois-Fharraige,/ɾˠaːŋɡ/,rang,Connacht
2,Aran; Mayo; Ulster,/ɾˠaŋ/,rang,Connacht; Connacht; Ulster
0,,/tʲax/,teach,
1,Cois-Fharraige,[tʲæːx],teach,Connacht
0,,/klˠɔ(h)/,cloth,
0,Munster,/bˠɑul̪ˠ/,ball,Munster
1,Galway,/bˠɑːl̪ˠ/,ball,Connacht
2,Mayo; Ulster,/bˠal̪ˠ/,ball,Connacht; Ulster
0,,/tʲɪtʲ/,tit,
0,,/l̪ˠɔŋ/,long,
1,Munster,/l̪ˠuːŋ(ɡ)/,long,Munster
2,Munster,[l̪ˠũːŋ(ɡ)],long,Munster
3,Munster,,long,Munster
4,Ulster,/l̪ˠʌŋ/,long,Ulster
0,,/fʲaɾˠ/,fear,
1,Cois-Fharraige,/fʲæɾˠ/,fear,Connacht
0,,/ˈl̠ʲɪɟ/,lig,
0,,/sˠən̪ˠ/,-san,
1,,/sˠənˠ/,-san,
0,,/sˠt̪ˠɔpˠ/,stop,
0,,/ˈɡɾˠamˠ/,gram,
0,Munster,/l̪ˠɔx/,loch,Munster
1,Munster,/l̪ˠɞx/,loch,Munster
2,Connacht,/l̪ˠɔx/,loch,Connacht
3,General-American,,loch,Not
4,,,loch,
0,Aran; Munster,/bˠɾˠɑt̪ˠ/,brat,Connacht; Munster
1,Cois-Fharraige,/bˠɾˠat̪ˠ/,brat,Connacht
2,Cois-Fharraige,[bˠɾˠaːt̪ˠ],brat,Connacht
3,Mayo; Ulster,/bˠɾˠat̪ˠ/,brat,Connacht; Ulster
0,,/ˈaŋɡl̪ˠəʃ/,anglais,
1,,/ˈaŋɡlˠəʃ/,anglais,
2,Ulster,/ˈãːlˠəʃ/,anglais,Ulster
3,Ulster,/ˈãːl̪ˠəʃ/,anglais,Ulster
0,,/ˈfʲɪlʲə/,file,
1,Ulster; also,/ˈfʲɨ̞lʲə/,file,Ulster; also
0,Ulster,/bʲɾʲɨ̞sˠt̪ˠ/,breast,Ulster
0,,/l̪ˠasˠ/,las,
