word,tags,ipa
reachtach,Ulster,ˈɾˠaxt̪ˠa(x)
dol,Ulster; Connacht,d̪ˠɔlˠ
dímhúineadh,Ulster,"ˈdʲiːmˠuːnˠu, ˈdʲiːmˠuːn̪ˠu, ˈdʲiːwuːnˠu, ˈdʲiːwuːn̪ˠu"
grinne,Waterford,ˈɟɾʲɪɲə
tréith,,tʲɾʲeː
clúiteach,Munster; Connacht,ˈkl̪ˠuːtʲəx
acadamh,Ulster,ˈakəd̪ˠu
margadh,Mayo; Ulster,ˈmˠaɾˠəɡuː
cinnidh,Munster,ˈcɪnʲɪɟ
tábhacht,Ulster,ˈt̪ˠaːwa(x)t̪ˠ
súiste,,ˈsˠuːʃtʲə
séide,,ˈʃeːdʲə
pis,,pʲɪʃ
bronntanas,Munster,ˈbˠɾˠɑun̪ˠt̪ˠən̪ˠəsˠ
ionraic,Ulster,ˈʌn̪ˠɾˠɪcɪ
nádúr,,ˈn̪ˠaːd̪ˠuːɾˠ
cluife,,"ˈklˠifʲə, ˈklˠufʲə, ˈklˠɨfʲə"
gleoite,,ˈɟlʲoːtʲə
a chairde,Ulster,ə ˈxæːɾˠdʲə
billiún,,ˈbʲil̠ʲuːnˠ
ngnóthaí,Cois-Fharraige,ˈn̪ˠuːiː
badráil,Ulster,ˈbˠad̪ˠɾˠalʲ
giúis,Munster; Connacht,ɟuːʃ
múch,,mˠuːx
deireanach,Aran,ˈdʲɛɾʲ(ə)nəx
planda,Munster,pl̪ˠaun̪ˠd̪ˠə
tiocfas,,ˈtʲʊkəsˠ
saoithiúil,Ulster,ˈsiːhwəlʲ
scaradh,Galway,ˈsˠkaɾˠə
geilt,,
fliuchadh,Galway; Munster,"ˈfʲlʲʊxə, ˈfʲlʲʊxəx"
in ainneoin,Ulster,əˈn̪ˠæn̠ʲænʲ
ionad,Connacht,ˈinˠəd̪ˠ
ofrála,Connacht,"ˈɔfˠɾˠɑːlˠə, ˈɔfˠɾˠɑːl̪ˠə"
laethanta na riabhaí,Connacht,ˈl̪ˠeːhən̪ˠt̪ˠə n̪ˠə ˈɾˠiəwiː
lúb,,l̪ˠuːbˠ
mórachas,Ulster,ˈmˠʌrˠaxəsˠ
bualadh,Galway; Munster,ˈbˠuəl̪ˠə
barr,Munster; Connacht,bˠɑːɾˠ
rú,,ɾˠuː
crosaire,,ˈkɾˠɔsəɾʲə
cnogaí,,ˈknˠuɡiː
coisrig,,ˈkɔʃɾʲɪc
béarla,Munster,ˈbʲiːa̯ɾˠl̪ˠə
doras,Munster,ˈd̪ˠʌɾˠəsˠ
dreancaid,,ˈdʲɾʲaŋkədʲ
croíthe,,ˈkɾˠiːhɪ
dreapaireacht,Ulster,ˈdʲɾʲapˠəɾʲa(x)t̪ˠ
neimheadh,Ulster,ˈnʲɛvʲu
seascann,Ulster,ˈʃasˠkənʲ
cealgfaidh,Galway; Ulster; Mayo,ˈcalˠəkə
tóra,Munster; Connacht,ˈt̪ˠoːɾˠə
cruinniú,Connacht,ˈkɾˠɪn̠ʲuː
foclóir,Ulster,ˈfˠʌkl̪ˠɔɾʲ
umhlú,Munster,uːˈl̪ˠuː
seisear,,ˈʃɛʃəɾˠ
toghadh,Connacht,ˈt̪ˠəu.ə
túir,,t̪ˠuːɾʲ
uireasach,,ˈɪɾʲəsˠəx
caismirt,Ulster,ˈkæʃmʲəɾˠtʲ
saor,Munster,sˠeːɾˠ
chaoirigh,Munster,ˈxiːɾʲɪɟ
stróic,,sˠt̪ˠɾˠoːc
tiargáil,Munster,tʲiː(ə)ɾˠˈɡɑːlʲtʲ
gairmiúil,Munster,ɡaɾʲɪˈmʲuːlʲ
Seoighe,,ˈʃoːjə
ainrialaí,,ˈanʲˌɾˠiəlˠiː
Ceilteach,Connacht,ˈcɛl̠ʲtʲəx
ligh,Connacht,l̠ʲiː
smachtín,Ulster,ˈsˠmˠaxtʲiːnʲ
rámhaille,Ulster,ˈɾˠaːwəl̠ʲi
boga,,ˈbˠɔɡə
