breab	bʲɾʲabˠ
glais	ɡlˠaʃ
blais	bˠlˠaʃ
uathlathaí	ˈuəhlˠəhiː
Sionainn	ˈʃiən̪ˠən̪ˠ
clais	klˠaʃ
harán	ˈhaɾˠɑːnˠ
sagart	ˈsˠaɡəɾˠt̪ˠ
dheá-	ˈjeɑː-
strainséir	ˈsˠt̪ˠɾˠan̪ʲʃeːɾʲ
dtuama	ˈd̪ˠuəmˠə
fuaimnigh	ˈfˠuəmʲnʲə
n-ata	n̪ˠ-ˈat̪ˠə
cárta	ˈkɑːɾˠt̪ˠə
beannú	ˈbʲan̪ˠuː
Nollag	ˈn̪ˠɔlˠəɡ
teith	tʲɛ
dhícheall	ˈjiːçəlˠ
thuilleamar	ˈhɪlʲəmˠəɾˠ
duid	d̪ˠɪdʲ
cuid	kɪdʲ
punt	pˠʊn̪ˠt̪ˠ
rugais	ˈɾˠʊɡəʃ
gceilt	ɟɛl̠ʲtʲ
fhéidir	ˈeːdʲəɾʲ
faocha	ˈfˠiːxə
copar	ˈkɔpˠəɾˠ
liath	ˈlʲiə
giorracht	ˈɟiəɾˠəxt̪ˠ
go héag	ɡəˈheːɡ
scríofa	ˈʃcɾʲiːfˠə
chruinne	ˈxɾˠɪnʲə
níne	ˈnʲiːnʲə
geocán	ˈɟoːkɑːnˠ
clabhta	ˈklˠəut̪ˠə
fágtha	ˈfˠɑːkə
luid	lˠɪdʲ
deineann	ˈdʲɛnʲən̪ˠ
aon déag	iːnʲ dʲeːɡ
gaoith	ɡiː
ár	ɑːɾˠ
leabharlann	ˈlʲəuəɾˠlˠən̪ˠ
bristeacha	ˈbʲɾʲɪʃtʲəxə
éaló	ˈeːlˠoː
spól	sˠpˠoːlˠ
dhath	ɣa
airnéis	ˈaɾʲnʲeːʃ
chím	çiːmʲ
áit	ɑːtʲ
Niocláis	ˈnʲiəklˠɑːʃ
gruama	ˈɡɾˠuəmˠə
Feabhra	ˈfʲəuɾˠə
Protastúnach	ˈpˠɾˠɔt̪ˠəsˠt̪ˠuːn̪ˠəx
pearsa	ˈpʲaɾˠsˠə
chistin	ˈçɪʃtʲɪnʲ
rachaidh	ˈɾˠaxə
cúlaí	ˈkuːlˠiː
turaire	ˈt̪ˠʊɾˠəɾʲə
poiblí	ˈpˠɛbʲlʲiː
t-aos	t̪ˠ-iːsˠ
ónar	ˈoːn̪ˠəɾˠ
bhíothas	ˈvʲiːhəsˠ
Uíbh	ˈuiːvʲ
ngarraí	ˈŋaɾˠiː
píopa	ˈpʲiːpˠə
ghaoth	ɣiː
ndearna	ˈnʲaɾˠn̪ˠə
dtóireacha	ˈd̪ˠóɾʲəxə
dolaí	ˈd̪ˠɔlˠiː
buntús	ˈbˠʊn̪ˠt̪ˠuːsˠ
chruaidh	ˈxɾˠuə
chodlata	ˈxɔd̪ˠlˠət̪ˠə
muirín	ˈmˠɪɾʲiːnʲ
scáth	sˠkɑː
facthas	ˈfˠakəsˠ
